what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283690911972
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283690925598
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283690926301
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283690930645
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1283690935957
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283690940161
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283690942692
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283690961396
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283690979318
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283690979318
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283690979396
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691031460
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691042351
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691042351
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691042429
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691043508
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691044680
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691044680
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691044758
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691062258
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691077102
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283691079368
started,bundle,org.eclipse.wst.jsdt.debug.core,1.0.0.v201006082045,"org.eclipse.wst.jsdt.debug.core",1283691079384
