what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283680742319
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283680742397
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283680976107
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283680987264
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283681071376
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283681071423
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1283681073470
opened,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283681079689
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283681079736
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.refresh",1283681080814
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283681081408
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283681082736
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283681084408
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283681118284
activated,view,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.PackageExplorer",1283681123253
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283681129519
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283681174286
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283681249882
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283681249882
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283681249976
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283683465593
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283683466671
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283683473437
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283683535752
