what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.preferences.jmx,1.0.0.v20070510,org.eclipse.equinox.preferences.jmx,1282895383136
started,bundle,org.eclipse.equinox.registry.jmx,1.0.0.v20080610-1530,org.eclipse.equinox.registry.jmx,1282895383136
started,bundle,org.eclipse.osgi.jmx,1.0.0.v20080610-1530,org.eclipse.osgi.jmx,1282895383199
started,bundle,org.eclipse.swt.jmx,1.0.0.v20070510,org.eclipse.swt.jmx,1282895397395
started,bundle,org.eclipse.equinox.jmx.server,1.0.0.v20071015,org.eclipse.equinox.jmx.server,1282895398065
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895457096
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895459933
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1282895460995
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.7,org.tigris.subversion.clientadapter.javahl,1282895461509
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.6.1,org.tigris.subversion.clientadapter.svnkit,1282895461509
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895465934
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895521212
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1282895524504
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1282895525684
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1282895525825
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1282895526893
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1282895528619
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895539178
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895557910
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895561185
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895563029
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1282895586076
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1282895588128
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1282895588458
started,bundle,org.eclipse.jst.j2ee.core,1.1.203.v200901221030,org.eclipse.jst.j2ee.core,1282895588480
