what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996556774
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996558763
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996568196
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996569153
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996630608
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996632865
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996639069
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996639914
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996658269
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1282996663979
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996667040
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996691877
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996693050
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996768101
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1282996773842
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1282996775981
started,bundle,org.eclipse.wst.common.emf,1.1.203.v200811022047,org.eclipse.wst.common.emf,1282996776319
started,bundle,org.eclipse.jst.j2ee.core,1.1.203.v200901221030,org.eclipse.jst.j2ee.core,1282996776336
started,bundle,org.eclipse.jem,2.0.202.v200810282000,org.eclipse.jem,1282996776379
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1282996776396
started,bundle,org.eclipse.jst.jee,1.0.103.v200901220530,org.eclipse.jst.jee,1282996776699
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1282996777193
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1282996777235
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1282996777313
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1282996777339
