what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jem,2.0.202.v200810282000,org.eclipse.jem,1282895588550
started,bundle,org.eclipse.emf.ecore.xmi,2.4.1.v200902171115,org.eclipse.emf.ecore.xmi,1282895588570
started,bundle,org.eclipse.jst.jee,1.0.103.v200901220530,org.eclipse.jst.jee,1282895589036
started,bundle,org.eclipse.wst.sse.core,1.1.303.v200901290024,org.eclipse.wst.sse.core,1282895589162
started,bundle,org.eclipse.jem.ui,2.0.100.v200806051600,org.eclipse.jem.ui,1282895589680
started,bundle,org.eclipse.wst.xml.core,1.1.307.v200812040936,org.eclipse.wst.xml.core,1282895589702
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.1.202.v200811131900,org.eclipse.wst.common.emfworkbench.integration,1282895589913
started,bundle,org.eclipse.wst.common.modulecore,1.1.205.v200901292145,org.eclipse.wst.common.modulecore,1282895590023
started,bundle,org.eclipse.wst.validation,1.2.6.v200902121900,org.eclipse.wst.validation,1282895590075
started,bundle,org.eclipse.jst.j2ee,1.1.206.v200902052030,org.eclipse.jst.j2ee,1282895590153
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282895596857
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895603183
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895608113
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1282895613630
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1282895615316
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282895646005
activated,view,org.eclipse.ui.console,3.3.1.v20090128_r342,org.eclipse.ui.console.ConsoleView,1282895664348
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1282895665840
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895669174
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895672147
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895677630
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895704606
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282895705796
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1282895748357
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282895753716
