what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry.jmx,1.0.0.v20080610-1530,org.eclipse.equinox.registry.jmx,1282996221203
started,bundle,org.eclipse.osgi.jmx,1.0.0.v20080610-1530,org.eclipse.osgi.jmx,1282996221255
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282996224951
started,bundle,org.eclipse.jdt.junit,3.4.0.v20080603-2000,org.eclipse.jdt.junit,1282996225149
started,bundle,org.eclipse.swt.jmx,1.0.0.v20070510,org.eclipse.swt.jmx,1282996233031
started,bundle,org.eclipse.equinox.jmx.server,1.0.0.v20071015,org.eclipse.equinox.jmx.server,1282996233650
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996245994
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996371421
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996377084
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996438359
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1282996447047
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996465253
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996473779
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.paste,1282996476411
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1282996490717
started,bundle,org.tigris.subversion.clientadapter.javahl,1.5.7,org.tigris.subversion.clientadapter.javahl,1282996490876
started,bundle,org.tigris.subversion.clientadapter.svnkit,1.5.6.1,org.tigris.subversion.clientadapter.svnkit,1282996490883
started,bundle,org.eclipse.debug.ui,3.4.2.v20090110_r342,org.eclipse.debug.ui,1282996492750
started,bundle,org.eclipse.wst.server.core,1.1.3.v20090209,org.eclipse.wst.server.core,1282996493335
started,bundle,org.eclipse.wst.server.ui,1.1.4.v20090128,org.eclipse.wst.server.ui,1282996493399
started,bundle,org.eclipse.jdt.debug,3.4.1.v20081216_r342,org.eclipse.jdt.debug,1282996494397
started,bundle,org.eclipse.jdt.debug.ui,3.3.1.v20080730_r341,org.eclipse.jdt.debug.ui,1282996494860
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996502124
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996535656
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282996537507
