what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744125955
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1283744125987
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283744130362
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283744130440
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283744137643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744144877
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744174377
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283744174487
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744178487
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744202487
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283744202596
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283744213737
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283744217268
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744223002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744230955
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283744230971
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283744233393
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283744235315
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283744235409
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1283744248909
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1283744251252
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283744251252
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283744252049
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744255518
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744299971
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744322205
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744337752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744348674
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744348987
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744349252
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744349612
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744351284
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744351284
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744351346
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744393346
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1283744411518
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744443315
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744502596
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744549252
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744549940
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744559112
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744565815
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744566143
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744601315
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744783330
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744795909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744810971
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283744836080
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744898127
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744935268
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744952565
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744965534
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744983252
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283744986346
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283745030627
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283745031784
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283745038830
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1283745039768
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1283745041127
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745044143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745045080
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1283745045112
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283745049659
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745049752
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745053268
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283745055362
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1283745059143
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283745059143
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283745060034
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1283745120877
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1283745122237
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1283745124487
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283745129940
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745135205
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745136440
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1283745136471
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283745140330
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745140424
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745145190
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745155987
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745185221
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745185299
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745189143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745194096
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283745194112
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283745197909
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745197987
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745206424
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745214049
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745216190
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283745223940
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283745232612
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.Terminate",1283745232705
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283745233409
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745234065
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745236049
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1283745237080
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283745240424
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745274362
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745294752
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1283745299221
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745305034
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745347221
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745347643
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745357174
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745397018
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745397049
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745397330
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745397971
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745485377
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745503096
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745503221
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745504955
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745543909
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745557143
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745564393
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745636330
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745658830
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745659112
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745659409
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745659659
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745659909
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745660174
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745660455
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745660784
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745661737
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1283745662143
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745706737
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745706815
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283745757205
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283745759190
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283745762580
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1283745763830
executed,command,,,"AUTOGEN:::org.eclipse.jdt.debug.CompilationUnitEditor.BreakpointRulerActions/org.eclipse.jdt.debug.ui.actions.ManageBreakpointRulerAction",1283745764784
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745771643
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745772674
activated,perspective,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugPerspective",1283745772705
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283745776205
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745776299
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745781127
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283745790955
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283745795440
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745795487
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745799174
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283745809940
activated,view,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.DebugView",1283745812362
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745812455
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745819612
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745825502
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283745836393
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745836471
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745837112
opened,editor,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1283745837159
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepOver",1283745837330
activated,perspective,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.JavaPerspective",1283745841830
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283745841830
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.StepInto",1283745845362
activated,editor,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1283745847877
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283745847940
closed,editor,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.sourcelookup.CommonSourceNotFoundEditor",1283745847940
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283745848752
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.100.v201004290328,"org.eclipse.wst.xsl.debug.ui",1283745853424
