what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747675502
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747681221
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1283747682440
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283747693268
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747694565
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747700721
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747713018
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747713096
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747718096
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747723127
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283747735659
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747736143
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747736143
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747736221
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747739580
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283747741549
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747753705
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747753721
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747753752
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747762213
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747778229
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747778229
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747778292
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747784116
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747796390
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747800617
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747821910
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747822004
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747829002
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747834137
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747851077
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747851077
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747851155
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747858341
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283747878396
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747883093
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1283747886772
executed,command,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.edit.text.java.format",1283747897716
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283747898467
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283747906937
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283747935510
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1283747962407
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1283747969812
activated,editor,org.eclipse.jdt.ui,3.6.0.v20100602-1600,"org.eclipse.jdt.ui.CompilationUnitEditor",1283747973522
