what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.preferences.jmx,1.0.0.v20070510,org.eclipse.equinox.preferences.jmx,1282874790223
started,bundle,org.eclipse.equinox.registry.jmx,1.0.0.v20080610-1530,org.eclipse.equinox.registry.jmx,1282874790255
started,bundle,org.eclipse.osgi.jmx,1.0.0.v20080610-1530,org.eclipse.osgi.jmx,1282874790312
started,bundle,org.eclipse.epp.usagedata.ui,1.0.1.R200809220400,org.eclipse.epp.usagedata.ui,1282874790372
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282874793176
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282874795396
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1282874798165
started,bundle,org.eclipse.swt.jmx,1.0.0.v20070510,org.eclipse.swt.jmx,1282874806298
started,bundle,org.eclipse.equinox.jmx.server,1.0.0.v20071015,org.eclipse.equinox.jmx.server,1282874806954
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282874828428
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282874834493
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.CompilationUnitEditor,1282874839736
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282875000805
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282875012255
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282875077981
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282876914975
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1282876918707
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1282876923733
activated,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1282876924020
activated,view,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.PackageExplorer,1282876926461
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282876940786
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282876947708
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282876950287
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1282877072740
opened,editor,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui.ClassFileEditor,1282877076377
